,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
198,Kyrie Irving,Guard,29.0,29.0,29.0,37.6,117.0,114.0,4.2,-1.2,55.00000000000001,19.33962264150944,6.3,9.8,35328.7,38529.394,32636.598368872485,28178.816813608766,30407.707591240625
199,Frank Jackson,Guard,23.0,53.0,7.0,22.0,106.0,118.0,-1.8,-1.7,49.1,17.582417582417584,4.0,6.7,3000.0,3271.792,2245.182186343031,4530.203305349205,3387.6927458461178
200,Isaiah Jackson,Forward,20.0,36.0,15.0,15.0,113.0,109.0,-1.6,0.1,57.49999999999999,29.82456140350877,15.4,14.0,2451.24,2673.316,2156.1483322760187,2595.8740279231406,2376.0111800995796
201,Jaren Jackson Jr,Forward,22.0,78.0,78.0,27.3,109.0,106.0,-0.9,0.8,47.7,27.06766917293233,11.2,9.9,9180.56,10012.296,6146.326901766634,6241.2085096677365,6193.767705717186
202,Josh Jackson,Forward,24.0,51.0,3.0,16.3,95.0,114.0,-4.1,-0.4,45.5,18.64406779661017,9.2,12.3,5005.35,5458.822,1456.6695880967507,4354.747697472708,2905.7086427847294
203,Reggie Jackson,Guard,31.0,75.0,75.0,31.2,99.0,113.0,-1.4,-1.6,46.0,11.042944785276074,6.1,11.8,10384.5,11325.31,24278.850654044385,13050.521381526405,18664.686017785396
204,LeBron James,Forward,37.0,56.0,56.0,37.2,117.0,111.0,6.9,0.8,59.0,20.642201834862384,11.8,12.5,41180.544,44911.401,30944.28915976427,34095.38984646607,32519.839503115167
205,Ty Jerome,Guard,24.0,48.0,4.0,16.7,103.0,115.0,-2.2,-0.2,46.0,11.764705882352942,5.0,9.6,2412.84,2631.437,2019.998019117294,2087.8227084796213,2053.9103637984576
206,Isaiah Joe,Guard,22.0,55.0,1.0,11.1,103.0,115.0,-3.1,-1.5,47.7,15.625,5.1,9.1,1517.981,1655.506,1117.610117226062,2060.968668795282,1589.289393010672
207,Alize Johnson,Forward,25.0,23.0,0.0,7.3,103.0,113.0,-3.6,-1.8,43.6,17.647058823529413,20.4,21.3,1003.74,1094.675,1458.3316629543638,2446.2214944097536,1952.2765786820587
208,Cameron Johnson,Forward,25.0,66.0,16.0,26.2,123.0,109.0,2.0,0.7,59.6,16.304347826086957,8.5,6.7,4437.0,4838.981,5809.3252533784025,4133.7102301083305,4971.517741743366
209,Jalen Johnson,Forward,20.0,22.0,0.0,5.5,98.0,114.0,-3.9,-1.1,57.3,10.526315789473683,11.9,17.0,2659.68,2900.64,1056.704048944848,2425.0121919905655,1740.8581204677066
