,Player,2020/21,2020/21(*)
512,Nate Darling,"$449,115","$516,211"
513,Devon Dotson,"$449,115","$516,211"
514,Adam Mokoka,"$449,115","$516,211"
515,Marques Bolden,"$449,115","$516,211"
516,Tyler Bey,"$449,115","$516,211"
517,Nate Hinton,"$449,115","$516,211"
518,Nico Mannion,"$449,115","$516,211"
519,Jay Scrubb,"$449,115","$516,211"
520,Kostas Antetokounmpo,"$449,115","$516,211"
521,Devontae Cacok,"$449,115","$516,211"
522,Killian Tillie,"$449,115","$516,211"
523,Sean McDermott,"$449,115","$516,211"
524,Jaylen Adams,"$449,115","$516,211"
525,Josh Hall,"$449,115","$516,211"
526,Ty-Shon Alexander,"$449,115","$516,211"
527,Keljin Blevins,"$449,115","$516,211"
528,Quinndary Weatherspoon,"$449,115","$516,211"
529,Keita Bates-Diop,"$449,115","$516,211"
