,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
158,Tim Hardaway Jr,Guard,28.0,70.0,31.0,28.4,2.0,-1.7,116.0,116.0,18975000,21809800
159,James Harden,Guard,31.0,44.0,43.0,36.6,6.2,1.0,122.0,112.0,41254920,47418265
160,Montrezl Harrell,Center,27.0,69.0,1.0,22.9,2.3,0.7,127.0,106.0,9258000,10641113
161,Gary Harris,Guard,26.0,39.0,38.0,27.7,-2.8,-1.3,105.0,117.0,19610714,22540488
162,Joe Harris,Forward,29.0,69.0,65.0,31.0,1.5,-1.2,126.0,117.0,16071429,18472446
163,Tobias Harris,Forward,28.0,62.0,62.0,32.5,2.9,0.8,118.0,108.0,34358850,39491945
164,Shaquille Harrison,Guard,27.0,34.0,0.0,9.8,-5.5,1.5,94.0,110.0,915048,1051752
165,Josh Hart,Forward,25.0,47.0,4.0,28.7,-1.1,0.3,117.0,113.0,3491159,4012726
166,Isaiah Hartenstein,Center,22.0,46.0,2.0,12.2,-2.4,1.5,114.0,108.0,1620564,1862670
167,Jaxson Hayes,Center,20.0,60.0,3.0,16.1,0.6,0.0,132.0,112.0,5105160,5867853
168,Killian Hayes,Guard,19.0,26.0,18.0,25.8,-6.3,-0.9,82.0,113.0,5307120,6099985
169,Gordon Hayward,Forward,30.0,44.0,44.0,34.0,1.6,-0.1,114.0,113.0,28500000,32757803
170,Willy Hernangomez,Center,26.0,47.0,12.0,18.0,1.0,-1.0,125.0,111.0,1737145,1996668
171,Tyler Herro,Guard,21.0,54.0,15.0,30.3,-0.3,-1.0,104.0,113.0,3822240,4393269
172,Buddy Hield,Guard,28.0,71.0,71.0,34.3,1.0,-1.6,109.0,119.0,24931817,28656546
173,George Hill,Guard,34.0,30.0,17.0,22.4,-1.0,-0.2,117.0,114.0,9590602,11023405
174,Solomon Hill,Forward,29.0,71.0,16.0,21.3,-3.0,0.5,104.0,115.0,2174318,2499153
175,Nate Hinton,Guard,21.0,21.0,0.0,4.4,-4.5,1.0,91.0,109.0,449115,516211
176,Aaron Holiday,Guard,24.0,66.0,8.0,17.8,-3.3,-0.9,99.0,115.0,2345640,2696070
177,Jrue Holiday,Guard,30.0,59.0,56.0,32.3,2.8,0.6,121.0,111.0,27026011,31063605
178,Justin Holiday,Guard,31.0,72.0,52.0,30.3,-0.9,-0.1,112.0,114.0,5720400,6575008
179,Richaun Holmes,Center,27.0,61.0,61.0,29.2,0.6,0.0,130.0,115.0,5005350,5753132
180,Rodney Hood,Forward,28.0,55.0,5.0,17.1,-4.9,-1.4,94.0,118.0,10047450,11548505
181,Al Horford,Center,34.0,28.0,28.0,27.9,2.0,1.4,111.0,112.0,27500000,31608407
182,Talen Horton-Tucker,Guard,20.0,65.0,4.0,20.1,-2.6,1.5,103.0,107.0,1517981,1744762
183,Danuel House,Forward,27.0,36.0,23.0,25.9,-2.8,-0.7,104.0,117.0,3717000,4272307
184,Dwight Howard,Center,35.0,69.0,6.0,17.3,-2.1,0.6,113.0,102.0,2564753,2947918
185,Markus Howard,Guard,21.0,37.0,1.0,5.5,-5.5,-3.2,89.0,116.0,535294,615265
186,Kevin Huerter,Guard,22.0,69.0,49.0,30.8,-0.6,0.4,112.0,115.0,2761920,3174541
187,De'Andre Hunter,Forward,23.0,23.0,19.0,29.5,0.6,0.6,119.0,114.0,7422000,8530821
188,Chandler Hutchison,Forward,24.0,25.0,1.0,13.8,-5.7,0.2,89.0,111.0,2443440,2808481
189,Serge Ibaka,Center,31.0,41.0,39.0,23.3,1.2,0.2,119.0,110.0,9258000,10641113
190,Andre Iguodala,Forward,37.0,63.0,5.0,21.3,-2.2,1.8,103.0,110.0,15000000,17240949
191,Joe Ingles,Forward,33.0,67.0,30.0,27.9,2.6,0.9,129.0,111.0,10363637,11911929
192,Brandon Ingram,Forward,23.0,61.0,61.0,34.3,3.3,-1.1,115.0,116.0,27285000,31361286
193,Kyrie Irving,Guard,28.0,54.0,54.0,34.9,5.7,-0.2,121.0,114.0,33722850,38760929
194,Wesley Iwundu,Forward,26.0,41.0,4.0,13.1,-6.1,-0.3,89.0,114.0,1678854,1929669
195,Frank Jackson,Guard,22.0,40.0,6.0,18.5,-0.1,-1.6,112.0,116.0,699115,803560
196,Josh Jackson,Guard,23.0,62.0,25.0,25.2,-2.5,-0.5,97.0,112.0,4767000,5479173
197,Justin Jackson,Forward,25.0,34.0,3.0,17.0,-2.3,-1.2,102.0,116.0,5109637,5872998
198,Reggie Jackson,Guard,30.0,67.0,43.0,23.0,0.6,-0.2,116.0,113.0,2331593,2679925
199,Justin James,Forward,24.0,36.0,0.0,8.6,-2.0,-2.3,106.0,121.0,1517981,1744762
200,LeBron James,Guard,36.0,45.0,45.0,33.4,5.9,2.3,114.0,106.0,39219566,45078836
201,DaQuan Jeffries,Guard,23.0,31.0,5.0,15.9,-3.6,-1.1,104.0,117.0,1445697,1661679
202,Ty Jerome,Guard,23.0,33.0,1.0,23.9,0.1,-0.8,113.0,116.0,2303040,2647106
203,Isaiah Joe,Guard,21.0,41.0,1.0,9.3,-2.0,-1.0,108.0,111.0,898310,1032514
