,Player,Pos,Age,G,GS,MP,OBPM,DBPM,ORtg,DRtg,Salary,Salary Adjusted
750,Jordan Poole,Guard,22.0,76.0,51.0,30.0,1.3,-0.3,112.0,110.0,2161440,2357261
751,Kevin Porter,Guard,21.0,61.0,61.0,31.3,-0.1,-1.6,103.0,117.0,1782621,1944122
752,Otto Porter,Forward,28.0,63.0,15.0,22.2,1.0,2.1,121.0,104.0,2389641,2606136
753,Bobby Portis,Center,26.0,72.0,59.0,28.2,1.2,-1.0,115.0,110.0,4347600,4741482
754,Kristaps Porzingis,Forward,26.0,51.0,51.0,29.0,3.3,0.6,116.0,107.0,31650600,34518067
755,Dwight Powell,Center,30.0,82.0,71.0,21.9,0.4,0.5,142.0,110.0,11080125,12083957
756,Norman Powell,Forward,28.0,45.0,41.0,32.4,1.2,-1.5,116.0,119.0,15517242,16923066
757,Taurean Prince,Forward,27.0,69.0,8.0,17.1,-1.0,0.0,112.0,112.0,13334375,14542437
758,Payton Pritchard,Guard,24.0,71.0,2.0,14.1,1.7,0.1,120.0,110.0,2137440,2331086
759,Immanuel Quickley,Guard,22.0,78.0,3.0,23.1,0.2,0.0,114.0,112.0,2210640,2410918
760,Julius Randle,Forward,27.0,72.0,72.0,35.3,0.4,0.2,102.0,109.0,19800000,21593832
761,Austin Reaves,Guard,23.0,61.0,19.0,23.2,-1.3,-0.6,123.0,116.0,925258,1009084
762,Cam Reddish,Forward,22.0,49.0,7.0,20.7,-1.0,-0.3,105.0,114.0,4670160,5093265
763,Davon Reed,Guard,26.0,48.0,5.0,13.9,-0.6,0.3,123.0,112.0,532398,580631
764,Paul Reed,Center,22.0,38.0,2.0,7.9,-0.8,2.9,122.0,100.0,1517981,1655506
765,Naz Reid,Center,22.0,77.0,6.0,15.8,-0.5,0.5,113.0,109.0,1782621,1944122
766,Nick Richards,Center,24.0,50.0,5.0,7.3,-2.6,-0.2,122.0,113.0,1517981,1655506
767,Josh Richardson,Guard,28.0,65.0,7.0,24.6,-0.6,0.7,113.0,110.0,11615328,12667648
768,Austin Rivers,Guard,29.0,67.0,18.0,22.1,-3.5,-0.3,104.0,115.0,2401537,2619110
769,Duncan Robinson,Guard,27.0,79.0,68.0,25.9,-0.3,-0.3,113.0,112.0,15650000,17067852
770,Justin Robinson,Guard,24.0,25.0,0.0,12.2,-6.4,-1.3,85.0,116.0,265953,290047
771,Mitchell Robinson,Center,23.0,72.0,62.0,25.7,1.0,1.2,143.0,106.0,1802057,1965319
772,Jeremiah Robinson-Earl,Center,21.0,49.0,36.0,22.2,-1.9,-0.4,108.0,113.0,2000000,2181195
773,Isaiah Roby,Forward,23.0,45.0,28.0,21.1,0.4,0.2,120.0,111.0,1782621,1944122
774,Rajon Rondo,Guard,35.0,39.0,1.0,17.9,-2.4,0.7,101.0,111.0,7500000,8179481
775,Derrick Rose,Guard,33.0,26.0,4.0,24.5,2.3,0.0,112.0,112.0,13445120,14663215
776,Terrence Ross,Guard,30.0,63.0,0.0,23.0,-2.5,-1.1,100.0,116.0,12500000,13632469
777,Terry Rozier,Guard,27.0,73.0,73.0,33.7,2.4,-0.7,117.0,115.0,17905263,19527436
778,Ricky Rubio,Guard,31.0,34.0,8.0,28.5,-1.0,1.2,102.0,108.0,17800000,19412636
779,D'Angelo Russell,Guard,25.0,65.0,65.0,32.0,2.2,-1.5,112.0,115.0,30013500,32732650
780,Domantas Sabonis,Center,25.0,62.0,61.0,34.5,3.2,0.9,121.0,113.0,18500000,20176055
781,Olivier Sarr,Center,22.0,22.0,2.0,19.1,-2.7,-1.3,123.0,114.0,223339,243572
782,Admiral Schofield,Forward,24.0,38.0,1.0,12.3,-4.2,-1.2,102.0,115.0,723741,789309
783,Landry Shamet,Guard,24.0,69.0,14.0,20.8,-0.9,-0.4,111.0,112.0,3768342,4109744
784,Day'Ron Sharpe,Forward,20.0,32.0,8.0,12.2,-0.3,-2.5,118.0,111.0,2009160,2191185
785,Pascal Siakam,Forward,27.0,68.0,68.0,37.9,2.7,0.8,116.0,110.0,33003936,35994012
786,Anfernee Simons,Guard,22.0,57.0,30.0,29.5,1.9,-2.7,112.0,121.0,3938818,4295665
787,Jericho Sims,Forward,23.0,41.0,5.0,13.5,-2.8,1.1,129.0,109.0,462629,504542
788,Marcus Smart,Guard,27.0,71.0,71.0,32.3,-1.2,1.7,110.0,107.0,13839285,15093090
789,Dennis Smith,Guard,24.0,37.0,4.0,17.2,-2.8,1.2,101.0,114.0,1789256,1951358
790,Jalen Smith,Forward,21.0,51.0,8.0,18.1,0.9,-1.4,119.0,111.0,4458000,4861884
791,Tony Snell,Guard,30.0,53.0,12.0,15.5,-3.4,-0.8,106.0,119.0,2389641,2606136
792,Lance Stephenson,Guard,31.0,46.0,1.0,17.7,-1.6,-1.6,107.0,117.0,1614825,1761124
793,Lamar Stevens,Forward,24.0,63.0,13.0,16.1,-3.2,0.3,107.0,110.0,1517981,1655506
794,Isaiah Stewart,Center,20.0,71.0,71.0,25.6,-2.5,-0.8,113.0,112.0,3277080,3573975
795,Max Strus,Forward,25.0,68.0,16.0,23.3,1.4,-0.4,116.0,112.0,1669178,1820401
796,Jalen Suggs,Guard,20.0,48.0,45.0,27.2,-5.3,-0.2,88.0,112.0,6592920,7190222
797,Keifer Sykes,Guard,28.0,32.0,11.0,17.7,-4.4,-2.5,94.0,120.0,558345,608929
798,Jae'Sean Tate,Forward,26.0,78.0,77.0,26.4,-1.3,-0.5,111.0,116.0,1517981,1655506
799,Jayson Tatum,Forward,23.0,76.0,76.0,35.9,4.3,0.6,113.0,106.0,28103500,30649609
800,Terry Taylor,Guard,22.0,33.0,7.0,21.6,2.2,-2.7,135.0,119.0,895125,976221
801,Garrett Temple,Guard,35.0,59.0,16.0,18.6,-2.8,0.3,101.0,113.0,4910000,5354834
802,Daniel Theis,Center,29.0,47.0,27.0,20.8,-1.9,-0.2,113.0,112.0,8280351,9030530
803,Cam Thomas,Guard,20.0,67.0,2.0,17.6,-2.0,-1.4,103.0,115.0,2036280,2220762
804,Isaiah Thomas,Guard,32.0,22.0,1.0,15.1,-1.9,-2.6,104.0,117.0,910926,993452
805,Matt Thomas,Guard,27.0,40.0,0.0,11.5,-1.2,-1.4,113.0,117.0,1669178,1820401
806,Klay Thompson,Guard,31.0,32.0,32.0,29.4,2.6,-1.6,107.0,110.0,37980720,41421681
807,Tristan Thompson,Forward,30.0,57.0,6.0,15.7,-1.6,-1.5,112.0,114.0,9946611,10847749
808,JT Thor,Forward,19.0,33.0,0.0,7.9,-3.1,0.1,108.0,114.0,1250000,1363246
809,Matisse Thybulle,Guard,24.0,66.0,50.0,25.5,-2.2,3.3,116.0,108.0,2840160,3097471
810,Killian Tillie,Center,23.0,36.0,3.0,12.8,-3.8,1.1,101.0,109.0,1901625,2073907
811,Xavier Tillman,Forward,23.0,53.0,2.0,13.2,-1.1,1.8,112.0,107.0,1517981,1655506
812,Obi Toppin,Forward,23.0,72.0,10.0,17.1,1.7,0.3,120.0,111.0,5105160,5567675
813,Juan Toscano-Anderson,Forward,28.0,73.0,6.0,13.6,-3.3,2.4,106.0,106.0,1701593,1855753
814,Karl-Anthony Towns,Center,26.0,74.0,74.0,33.5,4.5,0.5,121.0,110.0,31650600,34518067
815,Gary Trent Jr,Guard,23.0,70.0,69.0,35.0,-0.1,0.3,114.0,112.0,16225000,17694945
816,PJ Tucker,Forward,36.0,71.0,70.0,27.9,-0.8,1.4,120.0,110.0,7000000,7634183
817,Myles Turner,Center,25.0,42.0,42.0,29.4,0.1,1.4,117.0,111.0,18000000,19630756
818,Jonas Valanciunas,Center,29.0,74.0,74.0,30.3,2.0,-0.1,118.0,111.0,14000000,15268366
819,Denzel Valentine,Guard,28.0,24.0,0.0,9.3,-3.1,0.4,98.0,110.0,1005633,1096740
820,Jarred Vanderbilt,Forward,22.0,74.0,67.0,25.4,-0.8,1.0,127.0,108.0,4050000,4416920
821,Fred VanVleet,Guard,27.0,65.0,65.0,37.9,3.1,0.5,115.0,111.0,19675926,21458517
822,Devin Vassell,Forward,21.0,71.0,32.0,27.3,-0.5,0.0,109.0,112.0,4235160,4618855
823,Gabe Vincent,Guard,25.0,68.0,27.0,23.4,-1.9,0.5,107.0,111.0,1669178,1820401
824,Nikola Vucevic,Center,31.0,73.0,73.0,33.1,0.8,0.1,107.0,110.0,24000000,26174341
825,Dean Wade,Forward,25.0,51.0,28.0,19.2,-1.9,1.3,122.0,111.0,1782621,1944122
826,Franz Wagner,Forward,20.0,79.0,79.0,30.7,-0.4,-0.3,110.0,114.0,5007840,5461538
827,Moritz Wagner,Center,24.0,63.0,3.0,15.2,1.5,0.1,118.0,112.0,1729217,1885879
828,Kemba Walker,Guard,31.0,37.0,37.0,25.6,0.7,-0.2,112.0,113.0,34967442,38135407
829,Lonnie Walker,Guard,23.0,70.0,6.0,23.0,-1.2,-1.3,103.0,115.0,4447896,4850864
830,Brad Wanamaker,Guard,32.0,23.0,2.0,13.9,-5.3,-0.5,100.0,118.0,814918,888747
831,PJ Washington,Center,23.0,65.0,28.0,27.2,-0.2,0.2,114.0,113.0,4215120,4596999
832,Yuta Watanabe,Forward,27.0,38.0,4.0,11.7,-1.9,0.0,106.0,110.0,1762796,1922501
833,Lindy Waters III,Guard,24.0,25.0,1.0,18.6,-0.8,-0.8,110.0,112.0,159527,173979
834,Trendon Watford,Forward,21.0,48.0,10.0,18.1,-1.4,-0.4,118.0,116.0,768830,838484
835,Russell Westbrook,Guard,33.0,78.0,78.0,34.3,-0.7,-0.9,102.0,114.0,44211146,48216568
836,Coby White,Guard,21.0,61.0,17.0,27.5,-0.4,-1.7,111.0,117.0,5837760,6366646
837,Derrick White,Guard,27.0,75.0,52.0,29.3,0.4,0.6,114.0,112.0,15678571,17099011
838,Hassan Whiteside,Center,32.0,65.0,8.0,17.9,0.6,1.4,132.0,104.0,2401537,2619110
839,Joe Wieskamp,Guard,22.0,29.0,0.0,7.1,-2.9,-1.1,107.0,117.0,563663,614729
840,Aaron Wiggins,Guard,23.0,50.0,35.0,24.2,-3.4,-0.9,107.0,116.0,1305761,1424059
841,Andrew Wiggins,Forward,26.0,73.0,73.0,31.9,0.3,0.1,109.0,109.0,31579390,34440406
842,Brandon Williams,Guard,22.0,24.0,16.0,26.7,-2.6,-3.1,96.0,118.0,180798,197177
843,Grant Williams,Forward,23.0,77.0,21.0,24.4,-1.4,1.1,122.0,109.0,2617800,2854966
844,Kenrich Williams,Forward,27.0,49.0,0.0,21.9,-1.3,1.1,111.0,113.0,2000000,2181195
845,Robert Williams,Center,24.0,61.0,61.0,29.6,2.4,3.1,148.0,102.0,3661976,3993742
846,Ziaire Williams,Forward,20.0,62.0,31.0,21.7,-2.4,-0.6,113.0,114.0,4373040,4769226
847,Dylan Windler,Forward,25.0,50.0,0.0,9.2,-2.9,1.2,110.0,110.0,2239200,2442066
848,Justise Winslow,Forward,25.0,48.0,11.0,16.1,-2.7,1.0,100.0,109.0,3902439,4255990
849,Christian Wood,Center,26.0,68.0,67.0,30.8,2.1,-0.4,114.0,113.0,13666667,14904833
850,Delon Wright,Guard,29.0,77.0,8.0,18.9,-0.2,2.4,126.0,112.0,8526316,9298779
851,Thaddeus Young,Forward,33.0,52.0,1.0,16.3,0.1,2.1,113.0,108.0,14190000,15475579
852,Trae Young,Guard,23.0,76.0,76.0,34.9,7.1,-2.0,119.0,118.0,8326471,9080829
853,Omer Yurtseven,Center,23.0,56.0,12.0,12.6,-1.4,0.4,112.0,104.0,1489065,1623970
854,Cody Zeller,Center,29.0,27.0,0.0,13.1,-1.2,-1.0,127.0,116.0,2389641,2606136
855,Ivica Zubac,Center,24.0,76.0,76.0,24.4,-0.1,0.8,126.0,107.0,7518518,8199677
