,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted
167,Jaxson Hayes,Center,20.0,60.0,3.0,16.1,63.6,34.04255319148936,14.5,10.5,5105160,5867853
168,Killian Hayes,Guard,19.0,26.0,18.0,25.8,40.300000000000004,6.493506493506493,5.7,28.5,5307120,6099985
169,Gordon Hayward,Forward,30.0,44.0,44.0,34.0,53.7,23.333333333333332,9.3,11.0,28500000,32757803
170,Willy Hernangomez,Center,26.0,47.0,12.0,18.0,56.49999999999999,22.807017543859647,21.4,9.9,1737145,1996668
171,Tyler Herro,Guard,21.0,54.0,15.0,30.3,51.6,13.17829457364341,9.4,11.9,3822240,4393269
172,Buddy Hield,Guard,28.0,71.0,71.0,34.3,54.800000000000004,8.571428571428571,7.6,11.1,24931817,28656546
173,George Hill,Guard,34.0,30.0,17.0,22.4,56.10000000000001,19.6969696969697,4.9,12.4,9590602,11023405
174,Solomon Hill,Forward,29.0,71.0,16.0,21.3,47.3,11.904761904761903,7.7,11.7,2174318,2499153
175,Nate Hinton,Guard,21.0,21.0,0.0,4.4,40.5,15.0,5.3,9.7,449115,516211
176,Aaron Holiday,Guard,24.0,66.0,8.0,17.8,46.7,15.151515151515152,4.1,12.3,2345640,2696070
177,Jrue Holiday,Guard,30.0,59.0,56.0,32.3,56.99999999999999,12.949640287769784,7.4,12.6,27026011,31063605
178,Justin Holiday,Guard,31.0,72.0,52.0,30.3,55.1,10.344827586206899,6.4,7.5,5720400,6575008
179,Richaun Holmes,Center,27.0,61.0,61.0,29.2,63.800000000000004,23.404255319148938,15.7,10.3,5005350,5753132
180,Rodney Hood,Forward,28.0,55.0,5.0,17.1,42.699999999999996,8.51063829787234,5.9,11.7,10047450,11548505
181,Al Horford,Center,34.0,28.0,28.0,27.9,52.800000000000004,4.651162790697675,12.5,7.3,27500000,31608407
182,Talen Horton-Tucker,Guard,20.0,65.0,4.0,20.1,49.6,20.0,7.3,16.1,1517981,1744762
183,Danuel House,Forward,27.0,36.0,23.0,25.9,50.4,14.473684210526317,7.5,10.7,3717000,4272307
184,Dwight Howard,Center,35.0,69.0,6.0,17.3,59.599999999999994,40.90909090909091,26.7,22.1,2564753,2947918
185,Markus Howard,Guard,21.0,37.0,1.0,5.5,46.2,6.896551724137931,5.8,14.1,535294,615265
186,Kevin Huerter,Guard,22.0,69.0,49.0,30.8,52.800000000000004,6.60377358490566,6.0,9.4,2761920,3174541
187,De'Andre Hunter,Forward,23.0,23.0,19.0,29.5,54.6,29.629629629629626,8.9,9.2,7422000,8530821
188,Chandler Hutchison,Forward,24.0,25.0,1.0,13.8,41.699999999999996,19.512195121951223,12.1,14.9,2443440,2808481
189,Serge Ibaka,Center,31.0,41.0,39.0,23.3,56.3,11.235955056179774,16.2,10.2,9258000,10641113
190,Andre Iguodala,Forward,37.0,63.0,5.0,21.3,50.4,10.256410256410257,9.4,20.2,15000000,17240949
191,Joe Ingles,Forward,33.0,67.0,30.0,27.9,65.2,13.095238095238097,6.9,16.3,10363637,11911929
192,Brandon Ingram,Forward,23.0,61.0,61.0,34.3,53.1,25.555555555555554,7.8,11.0,27285000,31361286
193,Kyrie Irving,Guard,28.0,54.0,54.0,34.9,57.599999999999994,18.407960199004975,7.5,9.9,33722850,38760929
194,Wesley Iwundu,Forward,26.0,41.0,4.0,13.1,35.8,24.0,9.1,14.1,1678854,1929669
195,Frank Jackson,Guard,22.0,40.0,6.0,18.5,56.10000000000001,20.547945205479454,6.5,9.4,699115,803560
196,Josh Jackson,Guard,23.0,62.0,25.0,25.2,47.3,22.807017543859647,9.1,15.0,4767000,5479173
197,Justin Jackson,Forward,25.0,34.0,3.0,17.0,48.4,13.846153846153847,6.9,11.9,5109637,5872998
198,Reggie Jackson,Guard,30.0,67.0,43.0,23.0,55.400000000000006,11.49425287356322,7.0,10.6,2331593,2679925
199,Justin James,Forward,24.0,36.0,0.0,8.6,53.2,19.35483870967742,5.4,10.6,1517981,1744762
200,LeBron James,Guard,36.0,45.0,45.0,33.4,57.599999999999994,21.85792349726776,12.9,15.2,39219566,45078836
201,DaQuan Jeffries,Guard,23.0,31.0,5.0,15.9,50.0,5.128205128205129,7.8,10.2,1445697,1661679
202,Ty Jerome,Guard,23.0,33.0,1.0,23.9,56.99999999999999,9.195402298850576,6.0,13.5,2303040,2647106
203,Isaiah Joe,Guard,21.0,41.0,1.0,9.3,50.8,12.5,5.2,7.1,898310,1032514
204,Cameron Johnson,Forward,24.0,60.0,11.0,24.0,54.1,9.876543209876544,7.9,7.3,4235160,4867878
