,Player,Pos,Age,G,GS,MP,ORtg,DRtg,OBPM,DBPM,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,Rating Model Salary,Four Factors Salary,Average Predicted Salary
238,Saben Lee,Guard,22.0,37.0,0.0,16.3,107.0,112.0,-1.9,1.5,42.9,31.25,7.8,14.7,1489.065,1623.97,2479.311826355135,2351.421199887104,2415.3665131211196
239,Alex Len,Center,28.0,39.0,10.0,15.9,109.0,114.0,-3.2,0.3,55.1,24.444444444444446,14.1,17.4,3732.0,4070.11,4760.474044080639,4326.024054094372,4543.249049087506
240,Caris LeVert,Guard,27.0,58.0,49.0,30.7,108.0,116.0,0.0,-1.2,49.2,17.006802721088434,6.7,10.3,17500.0,19085.457,11093.833984155875,12647.200242583434,11870.517113369655
241,Kira Lewis,Guard,20.0,24.0,0.0,14.2,96.0,116.0,-2.8,-1.2,44.9,6.557377049180328,6.3,14.7,3822.24,4168.525,2569.354934138322,3343.799008397376,2956.576971267849
242,Damian Lillard,Guard,31.0,29.0,29.0,36.4,112.0,120.0,4.0,-2.7,48.6,28.94736842105264,6.2,11.6,39344.9,42909.452,24839.29244993451,31581.31984408806,28210.306147011284
243,Nassir Little,Forward,21.0,42.0,23.0,25.9,115.0,116.0,-0.9,-0.6,54.1,21.333333333333336,11.9,10.1,2316.24,2526.085,4224.5892446150065,2836.5527252791953,3530.570984947101
244,Kevon Looney,Center,25.0,82.0,80.0,21.1,128.0,105.0,-0.9,1.7,57.1,20.454545454545453,18.8,13.8,5178.572,5647.738,5691.039069304868,8978.363892483594,7334.701480894231
245,Robin Lopez,Center,33.0,36.0,9.0,17.0,110.0,116.0,-2.4,-1.4,55.8,16.363636363636363,10.9,16.5,5000.0,5452.987,5618.872231866475,5259.937144387722,5439.404688127099
246,Kevin Love,Center,33.0,74.0,4.0,22.5,117.0,108.0,4.4,0.1,55.3,21.359223300970875,17.8,10.4,31258.256,34090.178,20276.206950608168,20244.940769996705,20260.573860302437
247,Kyle Lowry,Guard,35.0,63.0,63.0,33.9,118.0,110.0,1.1,0.8,55.50000000000001,23.0,7.5,19.3,26984.128,29428.824,19127.570227264343,28697.270964717587,23912.420595990967
248,Timothe Luwawu,Forward,26.0,52.0,18.0,13.2,113.0,117.0,-2.3,-1.0,51.6,19.444444444444443,6.6,8.9,1939.35,2115.05,1822.2713231986381,2348.451589427337,2085.3614563129877
249,Trey Lyles,Forward,26.0,75.0,23.0,20.5,116.0,114.0,0.5,-0.8,52.6,34.66666666666667,13.4,9.8,2500.0,2726.493,6074.951248167668,4456.434183772663,5265.692715970166
250,Theo Maledon,Guard,20.0,51.0,7.0,17.8,99.0,114.0,-3.7,-0.7,44.5,24.19354838709677,7.4,15.3,2000.0,2181.195,1502.4731787718622,2654.7625237163843,2078.6178512441234
251,Sandro Mamukelashvili,Forward,22.0,41.0,3.0,9.9,126.0,114.0,0.6,-1.0,59.1,14.285714285714288,10.7,10.7,462.629,504.542,2145.518369349512,1231.4966855540483,1688.50752745178
252,Terance Mann,Forward,25.0,81.0,33.0,28.6,117.0,112.0,-0.8,0.2,53.900000000000006,18.823529411764707,9.7,9.9,1782.621,1944.122,4207.290315057956,4496.070760964994,4351.680538011475
253,Tre Mann,Guard,20.0,60.0,26.0,22.8,97.0,114.0,-3.3,-1.1,47.6,11.224489795918368,6.4,10.2,2901.24,3164.085,3346.8103330954696,3514.829653728811,3430.8199934121403
254,Boban Marjanovic,Center,33.0,23.0,0.0,5.6,101.0,109.0,-3.2,-1.2,60.7,20.0,16.9,15.8,3500.0,3817.091,6261.587470016658,5144.480794861393,5703.034132439026
255,Lauri Markkanen,Forward,24.0,61.0,61.0,30.8,117.0,110.0,0.4,-0.1,54.2,20.0,10.2,6.5,15690.909,17112.467,8617.139121955623,13899.23390571658,11258.1865138361
256,Naji Marshall,Forward,24.0,55.0,4.0,13.4,103.0,112.0,-2.7,-0.5,44.4,26.53061224489796,10.7,12.9,1517.981,1655.506,1772.6912724051188,1998.402872157095,1885.547072281107
257,Caleb Martin,Forward,26.0,60.0,12.0,22.9,119.0,108.0,0.1,0.9,58.5,17.647058823529413,9.5,10.3,844.011,920.476,4218.390213481357,1499.8615234074518,2859.1258684444047
258,Cody Martin,Forward,26.0,71.0,11.0,26.3,120.0,114.0,-1.2,0.7,55.400000000000006,18.333333333333336,8.1,11.5,1782.621,1944.122,1852.0525374045108,2977.9968470226295,2415.0246922135702
259,Kelan Martin,Forward,26.0,30.0,1.0,15.0,100.0,118.0,-2.6,-1.0,47.4,5.263157894736842,6.8,7.3,993.76,1083.792,3382.5331305851914,1926.763095251802,2654.6481129184967
260,KJ Martin,Forward,21.0,79.0,2.0,21.0,118.0,118.0,0.0,-1.2,59.1,15.151515151515152,9.9,9.4,1517.981,1655.506,1955.828929677293,2184.0708132163504,2069.949871446822
261,Garrison Mathews,Guard,25.0,65.0,33.0,26.3,120.0,118.0,-1.3,-1.0,55.00000000000001,30.98591549295775,6.1,7.1,2000.0,2181.195,2821.8957442344326,3821.860521168182,3321.8781327013075
262,Wesley Matthews,Guard,35.0,49.0,14.0,20.4,113.0,116.0,-3.0,-0.3,51.6,8.88888888888889,4.9,7.2,1958.495,2135.929,3242.066621478623,2459.872072918473,2850.969347198548
263,Tyrese Maxey,Guard,21.0,75.0,74.0,35.3,121.0,115.0,1.3,-0.7,55.2,21.052631578947366,5.1,7.4,2602.92,2838.738,8058.950957058432,5366.507394237231,6712.729175647832
264,Skylar Mays,Guard,24.0,28.0,5.0,7.9,113.0,117.0,-1.2,-0.8,56.3,13.043478260869565,6.2,12.8,510.907,557.193,1551.8047985943174,843.434080284151,1197.6194394392342
265,Miles McBride,Guard,21.0,40.0,2.0,9.3,98.0,112.0,-5.5,1.0,37.5,7.4074074074074066,6.1,4.2,925.258,1009.084,1021.5985602457906,2161.1430557667795,1591.3708080062852
266,CJ McCollum,Guard,30.0,62.0,62.0,34.6,111.0,117.0,3.2,-1.3,53.900000000000006,10.106382978723405,6.9,9.3,30864.198,33660.419,31810.85482436049,26119.087893758424,28964.971359059455
267,TJ McConnell,Guard,29.0,27.0,8.0,24.1,117.0,116.0,-0.4,1.4,50.5,9.09090909090909,7.7,11.7,7500.0,8179.481,6668.325827789607,7510.707418468043,7089.516623128825
268,Jaden McDaniels,Forward,21.0,70.0,31.0,25.8,108.0,113.0,-2.9,-0.1,53.2,10.126582278481012,8.7,11.4,2063.28,2250.208,2171.655763184095,2618.131677696788,2394.8937204404415
269,Jalen McDaniels,Forward,24.0,55.0,2.0,16.3,116.0,114.0,-1.9,-0.4,56.49999999999999,21.73913043478261,10.1,11.2,1782.621,1944.122,1064.7912077128758,2205.7953247716423,1635.293266242259
270,Doug McDermott,Forward,30.0,51.0,51.0,24.0,112.0,118.0,-0.4,-2.1,57.8,8.791208791208792,4.9,8.1,13750.0,14995.716,14617.396770446503,11718.962864692821,13168.179817569662
271,JaVale McGee,Center,34.0,74.0,17.0,15.8,118.0,102.0,-0.1,0.9,63.1,22.58064516129032,22.7,15.8,5000.0,5452.987,6538.95636502881,4731.9942051170965,5635.475285072953
272,Rodney McGruder,Guard,30.0,51.0,2.0,14.8,115.0,116.0,-0.7,-0.7,56.39999999999999,9.090909090909092,8.0,9.2,1939.35,2115.05,5800.9703104111595,3308.0809298616864,4554.525620136423
273,Jordan McLaughlin,Guard,25.0,62.0,3.0,14.5,122.0,112.0,-1.2,1.6,50.8,15.625,5.6,14.9,2000.0,2181.195,1985.5518600638977,2435.1209183962287,2210.336389230063
274,Ben McLemore,Guard,28.0,64.0,6.0,20.1,108.0,120.0,-0.7,-2.5,54.1,13.095238095238097,4.4,8.7,2389.641,2606.136,6729.339648838178,4788.8453439669665,5759.092496402573
275,De'Anthony Melton,Guard,23.0,73.0,15.0,22.7,108.0,107.0,0.3,1.6,50.4,12.63157894736842,10.4,13.0,8805.976,9603.776,3928.7166289917222,3061.5703186782857,3495.143473835004
276,Chimezie Metu,Center,24.0,60.0,20.0,21.3,104.0,111.0,-1.6,0.1,51.6,16.0,14.3,11.1,1762.796,1922.501,2744.6498322239363,3104.099665335521,2924.3747487797286
277,Khris Middleton,Forward,30.0,66.0,66.0,32.4,112.0,112.0,1.9,-0.3,52.2,25.161290322580644,8.8,14.2,35500.0,38716.214,25462.26349097873,26002.975900001387,25732.61969549006
278,Paul Millsap,Center,36.0,33.0,1.0,11.4,103.0,110.0,-3.7,0.2,42.6,14.285714285714285,16.6,13.1,2641.691,2881.021,4359.4730781578,3968.3505588182775,4163.911818488039
279,Shake Milton,Guard,25.0,55.0,6.0,21.4,109.0,114.0,-1.6,-0.6,48.3,15.068493150684931,6.7,9.2,1846.738,2014.047,2907.8443718225703,2670.4172334981536,2789.130802660362
280,Davion Mitchell,Guard,23.0,75.0,19.0,27.7,101.0,118.0,-2.1,-1.7,47.7,6.25,4.4,11.5,4603.2,5020.238,1534.5176769306174,3969.0823493277126,2751.800013129165
281,Donovan Mitchell,Guard,25.0,67.0,67.0,33.8,114.0,111.0,4.6,-0.3,53.3,19.51219512195122,6.8,11.7,28103.5,30649.609,25722.938396177462,24146.089236894168,24934.513816535815
282,Evan Mobley,Forward,20.0,69.0,69.0,33.8,109.0,107.0,-0.9,1.5,52.2,20.0,13.5,12.4,8075.16,8806.749,9003.642915353283,7847.968873016527,8425.805894184905
