,Unnamed: 0,Player,Pos,Age,G,GS,MP,eFG%,FTR,TRB%,TOV%,Salary,Salary Adjusted,age_bin,games_bin,games_started_bin,mins_bin
472,472,Eric Bledsoe,Guard,32.0,54.0,29.0,25.2,47.5,18.390804597701152,7.1,18.3,18125.0,19767.081,"(30, 33]","(50.0, 65.0]","(20, 40]","(20.0, 30.0]"
473,473,Keljin Blevins,Forward,26.0,31.0,1.0,11.3,40.1,5.555555555555556,7.1,12.8,462.629,504.542,"(24, 27]","(19.999, 35.0]","(0, 20]","(10.0, 20.0]"
474,474,Bogdan Bogdanovic,Guard,29.0,63.0,27.0,29.3,53.7,11.904761904761903,7.4,7.7,18000.0,19630.756,"(27, 30]","(50.0, 65.0]","(20, 40]","(20.0, 30.0]"
475,475,Bojan Bogdanovic,Forward,32.0,69.0,69.0,30.9,55.2,23.88059701492537,7.6,10.2,18700.0,20394.174,"(30, 33]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
476,476,Leandro Bolmaro,Forward,21.0,35.0,2.0,6.9,36.1,20.0,9.6,17.9,2353.32,2566.525,"(18, 21]","(19.999, 35.0]","(0, 20]","(-0.001, 10.0]"
477,477,Devin Booker,Guard,25.0,68.0,68.0,34.5,53.0,22.00956937799043,7.8,9.3,31650.6,34518.067,"(24, 27]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
478,478,BJ Boston,Guard,20.0,51.0,0.0,14.9,43.7,18.75,7.7,8.0,925.258,1009.084,"(18, 21]","(50.0, 65.0]",,"(10.0, 20.0]"
479,479,Chris Boucher,Forward,29.0,80.0,9.0,21.1,52.3,26.38888888888889,15.8,6.0,7020.0,7655.995,"(27, 30]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
480,480,James Bouknight,Guard,21.0,31.0,0.0,9.8,40.8,20.0,9.1,8.8,4154.4,4530.778,"(18, 21]","(19.999, 35.0]",,"(-0.001, 10.0]"
481,481,Avery Bradley,Guard,31.0,62.0,45.0,22.7,54.0,5.357142857142858,5.2,9.6,2641.691,2881.021,"(30, 33]","(50.0, 65.0]","(40, 60]","(20.0, 30.0]"
482,482,Tony Bradley,Center,24.0,55.0,7.0,10.0,58.5,13.636363636363637,19.1,20.0,1789.256,1951.358,"(21, 24]","(50.0, 65.0]","(0, 20]","(-0.001, 10.0]"
483,483,Ignas Brazdeikis,Forward,23.0,42.0,1.0,12.8,50.3,11.11111111111111,7.1,7.8,462.629,504.542,"(21, 24]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
484,484,Mikal Bridges,Forward,25.0,82.0,82.0,34.8,60.1,15.23809523809524,6.5,6.8,5557.725,6061.241,"(24, 27]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
485,485,Miles Bridges,Forward,23.0,80.0,80.0,35.5,55.400000000000006,21.71052631578948,10.4,9.9,5421.493,5912.667,"(21, 24]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
486,486,Oshae Brissett,Forward,23.0,67.0,25.0,23.3,49.3,22.36842105263158,12.8,8.5,1701.593,1855.753,"(21, 24]","(65.0, 82.0]","(20, 40]","(20.0, 30.0]"
487,487,Malcolm Brogdon,Guard,29.0,36.0,36.0,33.5,50.1,26.490066225165563,8.6,11.1,21700.0,23665.967,"(27, 30]","(35.0, 50.0]","(20, 40]","(30.0, 40.0]"
488,488,Armoni Brooks,Guard,23.0,54.0,11.0,15.6,46.7,5.555555555555555,6.7,8.3,1739.065,1896.619,"(21, 24]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
489,489,Dillon Brooks,Forward,26.0,32.0,31.0,27.7,47.5,17.073170731707318,6.0,8.0,12200.0,13305.29,"(24, 27]","(19.999, 35.0]","(20, 40]","(20.0, 30.0]"
490,490,Bruce Brown,Forward,25.0,72.0,45.0,24.6,54.3,18.571428571428573,10.6,9.1,4736.102,5165.181,"(24, 27]","(65.0, 82.0]","(40, 60]","(20.0, 30.0]"
491,491,Charlie Brown,Guard,24.0,22.0,2.0,8.0,26.9,22.222222222222225,10.1,10.3,431.151,470.212,"(21, 24]","(19.999, 35.0]","(0, 20]","(-0.001, 10.0]"
492,492,Greg Brown,Forward,20.0,48.0,6.0,13.3,47.6,22.5,11.6,14.1,925.258,1009.084,"(18, 21]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
493,493,Jaylen Brown,Forward,25.0,66.0,66.0,33.6,54.1,20.10869565217392,9.8,11.6,26758.928,29183.222,"(24, 27]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
494,494,Moses Brown,Center,22.0,40.0,6.0,8.6,59.3,40.74074074074075,21.7,12.5,1933.909,2109.116,"(21, 24]","(35.0, 50.0]","(0, 20]","(-0.001, 10.0]"
495,495,Sterling Brown,Guard,26.0,49.0,3.0,12.8,47.1,9.374999999999998,13.2,12.5,3000.0,3271.792,"(24, 27]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
496,496,Troy Brown,Forward,22.0,66.0,7.0,16.0,51.0,7.6923076923076925,10.8,8.8,5170.564,5639.004,"(21, 24]","(65.0, 82.0]","(0, 20]","(10.0, 20.0]"
497,497,Jalen Brunson,Guard,25.0,79.0,61.0,31.9,54.900000000000006,17.968749999999996,6.8,10.1,1802.057,1965.319,"(24, 27]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
498,498,Thomas Bryant,Center,24.0,27.0,9.0,16.3,56.10000000000001,23.63636363636364,13.6,10.3,8666.667,9451.846,"(21, 24]","(19.999, 35.0]","(0, 20]","(10.0, 20.0]"
499,499,Reggie Bullock,Forward,30.0,68.0,37.0,28.0,54.2,8.108108108108107,7.0,7.1,9536.0,10399.938,"(27, 30]","(65.0, 82.0]","(20, 40]","(20.0, 30.0]"
500,500,Trey Burke,Guard,29.0,42.0,0.0,10.5,45.1,9.803921568627452,4.2,10.4,3150.0,3435.382,"(27, 30]","(35.0, 50.0]",,"(10.0, 20.0]"
501,501,Alec Burks,Guard,30.0,81.0,44.0,28.6,49.9,30.000000000000004,9.2,9.7,9536.0,10399.938,"(27, 30]","(65.0, 82.0]","(40, 60]","(20.0, 30.0]"
502,502,Jared Butler,Guard,21.0,42.0,1.0,8.6,49.7,8.333333333333332,6.8,17.3,925.258,1009.084,"(18, 21]","(35.0, 50.0]","(0, 20]","(-0.001, 10.0]"
503,503,Jimmy Butler,Forward,32.0,57.0,57.0,33.9,49.6,47.58620689655172,9.9,10.5,36016.2,39279.18,"(30, 33]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
504,504,Kentavious Caldwell-Pope,Guard,28.0,77.0,77.0,30.2,53.1,16.666666666666664,6.2,9.8,13038.862,14220.151,"(27, 30]","(65.0, 82.0]","(60, 82]","(30.0, 40.0]"
505,505,Facundo Campazzo,Guard,30.0,65.0,4.0,18.2,45.9,19.565217391304348,5.5,16.9,3100.0,3380.852,"(27, 30]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
506,506,Clint Capela,Center,27.0,74.0,73.0,27.6,61.3,13.414634146341466,23.5,6.1,17603.448,19198.277,"(24, 27]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
507,507,Jevon Carter,Guard,26.0,66.0,3.0,13.7,51.8,5.2631578947368425,6.6,11.5,4107.149,4479.246,"(24, 27]","(65.0, 82.0]","(0, 20]","(10.0, 20.0]"
508,508,Wendell Carter,Forward,22.0,62.0,61.0,29.9,57.6,20.909090909090907,18.5,13.1,6920.027,7546.964,"(21, 24]","(50.0, 65.0]","(60, 82]","(20.0, 30.0]"
509,509,Alex Caruso,Guard,27.0,41.0,18.0,28.0,48.0,22.58064516129032,7.3,16.5,8600.0,9379.139,"(24, 27]","(35.0, 50.0]","(0, 20]","(20.0, 30.0]"
510,510,Willie Cauley-Stein,Center,28.0,20.0,2.0,9.2,47.1,5.555555555555556,12.2,16.3,4220.083,4602.412,"(27, 30]","(19.999, 35.0]","(0, 20]","(-0.001, 10.0]"
511,511,Justin Champagnie,Forward,20.0,36.0,0.0,7.8,53.7,15.789473684210526,13.9,10.1,462.629,504.542,"(18, 21]","(35.0, 50.0]",,"(-0.001, 10.0]"
512,512,Chris Chiozza,Guard,26.0,34.0,1.0,10.9,40.1,4.166666666666667,5.3,28.0,462.629,504.542,"(24, 27]","(19.999, 35.0]","(0, 20]","(10.0, 20.0]"
513,513,Marquese Chriss,Forward,24.0,34.0,0.0,10.2,49.3,15.384615384615383,16.5,10.3,1292.9,1410.033,"(21, 24]","(19.999, 35.0]",,"(10.0, 20.0]"
514,514,Josh Christopher,Guard,20.0,74.0,2.0,18.0,50.4,16.176470588235293,7.7,17.2,2259.24,2463.921,"(18, 21]","(65.0, 82.0]","(0, 20]","(10.0, 20.0]"
515,515,Gary Clark,Forward,27.0,38.0,1.0,9.9,53.400000000000006,8.695652173913045,13.2,9.8,811.213,884.706,"(24, 27]","(35.0, 50.0]","(0, 20]","(-0.001, 10.0]"
516,516,Brandon Clarke,Forward,25.0,64.0,1.0,19.5,65.0,18.571428571428573,14.4,6.3,2726.88,2973.928,"(24, 27]","(50.0, 65.0]","(0, 20]","(10.0, 20.0]"
517,517,Jordan Clarkson,Guard,29.0,79.0,1.0,27.1,50.4,12.765957446808512,7.0,9.8,12420.0,13545.221,"(27, 30]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
518,518,Nicolas Claxton,Center,22.0,47.0,19.0,20.7,67.4,19.642857142857142,14.8,11.1,1782.621,1944.122,"(21, 24]","(35.0, 50.0]","(0, 20]","(20.0, 30.0]"
519,519,Amir Coffey,Guard,24.0,69.0,30.0,22.7,55.60000000000001,22.058823529411764,6.7,8.0,573.576,625.54,"(21, 24]","(65.0, 82.0]","(20, 40]","(20.0, 30.0]"
520,520,John Collins,Forward,24.0,54.0,53.0,30.8,57.6,21.008403361344534,13.9,7.7,23000.0,25083.744,"(21, 24]","(50.0, 65.0]","(40, 60]","(30.0, 40.0]"
521,521,Zach Collins,Center,24.0,28.0,4.0,17.9,53.5,34.54545454545455,16.0,19.7,7000.0,7634.183,"(21, 24]","(19.999, 35.0]","(0, 20]","(10.0, 20.0]"
522,522,Mike Conley,Guard,34.0,72.0,72.0,28.6,54.2,16.363636363636363,5.8,12.5,21000.0,22902.549,"(33, 36]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
523,523,Pat Connaughton,Forward,29.0,65.0,19.0,26.0,60.5,9.210526315789473,8.6,6.3,5333.334,5816.521,"(27, 30]","(50.0, 65.0]","(0, 20]","(20.0, 30.0]"
524,524,Tyler Cook,Forward,24.0,20.0,2.0,10.0,60.5,57.89473684210527,14.9,11.8,462.629,504.542,"(21, 24]","(19.999, 35.0]","(0, 20]","(-0.001, 10.0]"
525,525,DeMarcus Cousins,Center,31.0,48.0,7.0,15.0,51.7,29.411764705882355,20.6,18.3,2038.942,2223.664,"(30, 33]","(35.0, 50.0]","(0, 20]","(10.0, 20.0]"
526,526,Robert Covington,Forward,31.0,71.0,42.0,27.3,54.8,11.428571428571429,11.0,12.4,12975.471,14151.017,"(30, 33]","(65.0, 82.0]","(40, 60]","(20.0, 30.0]"
527,527,Torrey Craig,Forward,31.0,78.0,16.0,20.5,54.1,8.771929824561402,10.7,12.6,4878.049,5319.988,"(30, 33]","(65.0, 82.0]","(0, 20]","(20.0, 30.0]"
528,528,Jae Crowder,Forward,31.0,67.0,67.0,28.1,51.6,13.580246913580249,10.1,8.6,9720.9,10601.59,"(30, 33]","(65.0, 82.0]","(60, 82]","(20.0, 30.0]"
529,529,Jarrett Culver,Guard,22.0,37.0,0.0,9.1,42.2,11.111111111111112,7.4,11.8,6395.16,6974.546,"(21, 24]","(35.0, 50.0]",,"(-0.001, 10.0]"
530,530,Cade Cunningham,Guard,20.0,64.0,64.0,32.6,47.1,13.664596273291924,9.2,17.5,10050.12,10960.636,"(18, 21]","(50.0, 65.0]","(60, 82]","(30.0, 40.0]"
531,531,Seth Curry,Guard,31.0,64.0,64.0,33.4,59.4,11.304347826086955,5.2,12.3,8207.518,8951.099,"(30, 33]","(50.0, 65.0]","(60, 82]","(30.0, 40.0]"
532,532,Stephen Curry,Guard,33.0,64.0,64.0,34.5,55.400000000000006,22.5130890052356,8.3,13.2,45780.966,49928.61,"(30, 33]","(50.0, 65.0]","(60, 82]","(30.0, 40.0]"
533,533,Anthony Davis,Center,28.0,40.0,40.0,35.1,54.2,25.287356321839084,15.1,9.3,35361.36,38565.013,"(27, 30]","(35.0, 50.0]","(20, 40]","(30.0, 40.0]"
534,534,Ed Davis,Center,32.0,31.0,3.0,6.5,68.8,40.0,17.6,18.4,2641.691,2881.021,"(30, 33]","(19.999, 35.0]","(0, 20]","(-0.001, 10.0]"
